Target,Main_ID,RA,DEC
11UMIB,*  11 UMi,229.2745392,71.82390194
BD+48738B,BD+48   738b,40.71026792,49.58696639
BD+48740B,BD+48   740b,40.74257583,48.9300625
BD+49828B,BD+49   828b,45.6405675,49.72998972
GJ3942B,GJ  3942 b,242.2630879,52.94387722
HAT-P-13B,HAT-P-13b,129.8825304,47.35202083
HAT-P-13C,HAT-P-13c,129.8825304,47.35202083
HAT-P-14B,BD+38  2917b,260.1161592,38.24219694
HAT-P-15B,HAT-P-15b,66.24806125,39.46064222
HAT-P-16B,HAT-P-16b,9.57316,42.46311556
HAT-P-21B,HAT-P-21b,171.2749408,41.02796361
HAT-P-29B,HAT-P-29b,33.13116,51.77876722
HAT-P-32B,HAT-P-32b,31.04282292,46.68783611
HAT-P-33B,HAT-P-33b,113.1842375,33.83503278
HAT-P-36B,HAT-P-36b,188.2662754,44.9153325
HAT-P-37B,HAT-P-37b,284.2960675,51.26912472
HAT-P-40B,HAT-P-40b,335.5128646,45.45736528
HAT-P-44B,HAT-P-44b,213.1440475,47.01473472
HAT-P-44C,HAT-P-44c,213.1440475,47.01473472
HAT-P-4B,BD+36  2593b,229.9913354,36.22964917
HAT-P-53B,HAT-P-53b,21.87110208,38.9681275
HAT-P-56B,HD 262389b,100.8480529,27.25228111
HAT-P-5B,HAT-P-5b,274.4054696,36.62143556
HAT-P-66B,HAT-P-66b,150.5726946,53.95088917
HAT-P-67B,BD+44  2654b,256.6106704,44.77696306
HAT-P-6B,BD+41  4831b,354.7742087,42.46597306
HAT-P-8B,BD+34  4779b,343.0410979,35.44711278
HAT-P-9B,HAT-P-9b,110.1685675,37.14065056
HD116029C,HD 116029c,200.1647592,24.64869694
HD118203B,HD 118203b,203.5105808,53.72852722
HD125390B,HD 125390b,214.5388258,38.96698194
HD132563B,HD 132563B,224.588065,44.04329444
HD136418B,HD 136418b,229.7757583,41.73320611
HD148284B,HD 148284b,246.4517325,30.26512667
HD17092B,HD  17092b,41.5921575,49.65308167
HD216536B,HD 216536b,343.26655,44.47774306
HD217850B,HD 217850b,345.6528179,58.8759825
HD219415B,HD 219415b,348.7242642,56.73032444
HD220842B,HD 220842b,351.6541183,56.886525
HD233604B,HD 233604b,137.4533696,53.56823028
HD238914B,HD 238914b,279.5842429,59.25385972
HD240210B,HD 240210b,347.6217763,57.02945194
HD240237B,HD 240237b,348.925935,58.04324167
HD2952B,HD   2952b,8.293310417,54.894985
HD80606B,HD  80606b,140.6565704,50.60373167
HD81688B,*  41 Lyn b,142.16662,45.60148194
HD95127B,HD  95127b,164.8961992,43.81446306
HD96127B,HD  96127b,166.4414538,44.30155833
HD99706B,HD  99706b,172.1258904,43.96657917
HD99706C,HD  99706c,172.1258904,43.96657917
KELT-12B,BD+36  2955b,267.6404912,36.57022306
KELT-16B,KELT-16b,314.2684942,31.66100806
KELT-18B,BD+60  1538b,216.5239892,59.44424667
KELT-1B,KELT-1b,0.36215375,39.38382833
KELT-21B,HD 332124b,304.8000204,32.581045
KELT-3B,BD+41  2024b,148.6432792,40.38804944
KELT-4AB,NAME BD+26 2091Ab,157.0625525,25.57318889
KELT-6B,BD+31  2447b,195.9818617,30.6400775
KELT-6C,BD+31  2447c,195.9818617,30.6400775
KELT-7B,HD  33643b,78.29553625,33.3181675
KELT-9B,HD 195689b,307.8598058,39.93882361
KEPLER-1253B,Kepler-1253b,283.8851571,47.63723444
KEPLER-163B,Kepler-163b,295.0028071,46.98735778
KEPLER-225B,Kepler-225b,292.1940092,47.45710111
KEPLER-332B,Kepler-332b,286.6629517,47.41371889
KEPLER-364B,Kepler-364b,281.5699604,47.39868056
KEPLER-526B,Kepler-526b,297.6509354,47.39627611
KEPLER-589B,Kepler-589b,280.64138,47.75194806
KEPLER-981B,Kepler-981b,289.2489025,47.65009833
KPS-1B,NAME KPS-TF3-663,165.1674254,64.96398472
TRES-3B,TrES-3,268.0292438,37.54617694
TRES-4B,[DHB2009] TrES-4/C,268.3043729,37.21226056
TRES-5B,TrES-5,305.2218679,59.44877056
WASP-113B,TOI-1629b,224.872825,46.96013333
WASP-12B,WASP-12b,97.6366525,29.67229611
WASP-13B,BD+34  1976b,140.1029762,33.88241639
WASP-148B,TOI-2064.01,254.1305829,44.3026525
WASP-150B,WASP-150b,264.26305,53.02124472
WASP-153B,TOI-1626b,279.2624233,40.01868944
WASP-48B,TOI-1628b,291.1623396,55.4731475
WASP-56B,TOI-1809b,183.3662117,23.05567472
WASP-58B,TOI-1627b,274.7010542,45.17201639
WASP-92B,TOI-1838b,246.6920779,51.04108111
WASP-93B,TOI-1477b,9.458791667,51.28876639
WTS-1B,WTS-1b,293.9850413,36.29633222
WTS-2B,WTS-2b,293.7327779,36.81551306
XO-3B,BD+57   793b,65.46960167,57.81719222
XO-4B,XO-4b,110.3881675,58.26808639
XO-5B,XO-5b,116.7165063,39.09457222
